beer_name,brewery,style,abv,rating,num_ratings
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.84,674
Heady Topper,The Alchemist Brewery and Visitors Center,American Double / Imperial IPA,8,4.72,13910
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,11,4.74,1543
Barrel-Aged Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,11,4.74,1394
Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),3 Floyds Brewing Co.,Russian Imperial Stout,15,4.73,1548
King Julius,Tree House Brewing Company,American Double / Imperial IPA,8.3,4.74,796
Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,10.25,4.7,3151
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Double / Imperial Stout,12.9,4.68,7234
Fundamental Observation,Bottle Logic Brewing,American Double / Imperial Stout,14.3,4.71,1025
Mornin' Delight,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.7,1336
Very Hazy,Tree House Brewing Company,American Double / Imperial IPA,8.6,4.72,694
CBS (Canadian Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,11.7,4.66,5306
Julius,Tree House Brewing Company,American IPA,6.8,4.66,4038
Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8,4.65,14733
Double Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8,4.66,2180
Juice Machine,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.7,622
Cantillon Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5,4.65,2980
Very Green,Tree House Brewing Company,American Double / Imperial IPA,8.6,4.68,828
Assassin,Toppling Goliath Brewing Company,American Double / Imperial Stout,12,4.66,1235
Morning Wood,Funky Buddha Brewery,American Porter,12,4.66,1010
Dinner,Maine Beer Company,American Double / Imperial IPA,8.2,4.64,2140
Doubleganger,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.69,523
Speedway Stout - Vietnamese Coffee (Bourbon-Barrel Aged),AleSmith Brewing Company,American Double / Imperial Stout,12,4.66,835
Abner,Hill Farmstead Brewery,American Double / Imperial IPA,8.2,4.63,2707
KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,11.8,4.61,12910
Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,14,4.61,6663
King Sue,Toppling Goliath Brewing Company,American Double / Imperial IPA,8,4.62,2062
Duck Duck Gooze,The Lost Abbey,Gueuze,7,4.62,1830
Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit,5,4.62,1765
Bourbon County Brand Stout,Goose Island Beer Co.,American Double / Imperial Stout,14.1,4.6,12544
Triple Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,10.5,4.65,648
Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.2,4.6,6464
Double Citra,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.61,1851
Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA),6.2,4.59,10335
JJJuliusss,Tree House Brewing Company,American IPA,6.8,4.68,362
Focal Banger,The Alchemist Brewery and Visitors Center,American IPA,7,4.59,3517
Fuzzy,Side Project Brewing,American Wild Ale,8,4.62,820
Green,Tree House Brewing Company,American IPA,7.6,4.59,2688
Drie Fonteinen Zenne Y Frontera,Brouwerij 3 Fonteinen,Lambic - Unblended,7,4.73,225
Double Galaxy,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.6,1427
Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA,7.2,4.6,1330
Sip Of Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8,4.58,5184
Hunahpu's Imperial Stout,Cigar City Brewing,American Double / Imperial Stout,11,4.58,4223
Atrial Rubicite,Jester King Brewery,American Wild Ale,5.8,4.59,1808
Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.59,1519
Doppelganger,Tree House Brewing Company,American Double / Imperial IPA,8,4.59,1488
Haze,Tree House Brewing Company,American Double / Imperial IPA,8.2,4.58,2383
Society & Solitude #4,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.59,1200
Headroom,Trillium Brewing Company,American Double / Imperial IPA,8,4.62,578
PseudoSue - Double Dry-Hopped With Citra,Toppling Goliath Brewing Company,American Pale Ale (APA),5.8,4.6,820
Westly,Sante Adairius Rustic Ales,American Wild Ale,8.5,4.68,275
Swish,Bissell Brothers Brewing Co.,American Double / Imperial IPA,8,4.58,1367
Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5,4.58,1334
Supplication,Russian River Brewing Company,American Wild Ale,7,4.56,6435
Citra,Kern River Brewing Company,American Double / Imperial IPA,8,4.57,1768
Cable Car,The Lost Abbey,American Wild Ale,7,4.58,1027
Alter Ego,Tree House Brewing Company,American IPA,6.8,4.56,2160
Aaron,Hill Farmstead Brewery,English Barleywine,NA,4.61,501
Grande Negro Voodoo Papi - Bourbon Barrel Aged,Voodoo Brewery,American Double / Imperial Stout,12.5,4.65,309
Nectarine Premiere,de Garde Brewing,Saison / Farmhouse Ale,7.1,4.65,304
Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.56,1636
West Ashley,Sante Adairius Rustic Ales,American Wild Ale,7.3,4.57,1050
Ephraim,Hill Farmstead Brewery,American Double / Imperial IPA,10,4.57,1046
Beatification,Russian River Brewing Company,American Wild Ale,6,4.55,2706
In Perpetuity,Tree House Brewing Company,American IPA,6.7,4.58,714
Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale,13.5,4.55,1934
Black Note Stout,"Bell's Brewery, Inc.",American Double / Imperial Stout,11.2,4.54,4687
Coffee Cinnamon B-Bomb,Fremont Brewing Company,Winter Warmer,13,4.57,878
Black Tuesday,The Bruery,American Double / Imperial Stout,19.5,4.54,3981
Chocolate Rain,The Bruery,American Double / Imperial Stout,19.6,4.54,2740
Society & Solitude #5,Hill Farmstead Brewery,American Double / Imperial IPA,8.1,4.55,1473
Drie Fonteinen Oude Geuze Vintage,Brouwerij 3 Fonteinen,Gueuze,6,4.57,766
Saison Du Fermier,Side Project Brewing,Saison / Farmhouse Ale,7,4.57,733
Cantillon Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,5,4.54,2142
Bourbon Barrel Aged Dark Lord Imperial Stout,3 Floyds Brewing Co.,Russian Imperial Stout,15,4.56,884
Beer Geek Vanilla Shake (Bourbon Edition),Mikkeller ApS,American Double / Imperial Stout,13,4.59,471
Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout,12,4.53,3225
Double Shot,Tree House Brewing Company,American Stout,7.6,4.55,921
Sunday Brunch,Kane Brewing Company,American Porter,9.2,4.56,693
Bourbon County Brand Barleywine Ale,Goose Island Beer Co.,English Barleywine,14.4,4.52,5339
Cutting Tiles (Mosaic),Trillium Brewing Company,American Double / Imperial IPA,8.5,4.54,1221
§ucaba,Firestone Walker Brewing Co.,English Barleywine,12.5,4.52,5093
Last Buffalo In The Park,Funky Buddha Brewery,American Porter,11.5,4.56,678
PseudoSue,Toppling Goliath Brewing Company,American Pale Ale (APA),6.2,4.52,4594
Keene Idea,Alpine Beer Company,American Double / Imperial IPA,8.88,4.58,466
Notorious Triple IPA,Boneyard Beer Company,American Double / Imperial IPA,12,4.55,810
Bourbon Paradise,Prairie Artisan Ales,American Double / Imperial Stout,15.9,4.62,287
Breakfast Stout,Founders Brewing Company,American Double / Imperial Stout,8.3,4.51,16912
Beyond Good And Evil,Hill Farmstead Brewery,American Double / Imperial Stout,NA,4.56,577
Pirate Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,15,4.52,2184
Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,American Double / Imperial Stout,12,4.52,2171
The Rusty Nail,Fremont Brewing Company,American Double / Imperial Stout,12.7,4.58,414
Grey Monday,The Bruery,American Double / Imperial Stout,20,4.52,1788
Parabajava,Firestone Walker Brewing Co.,Russian Imperial Stout,14,4.54,807
Mexican Brunch,Kane Brewing Company,American Porter,9.2,4.57,455
Double Dry Hopped Double Mosaic Dream,Other Half Brewing Co.,American Double / Imperial IPA,8.5,4.58,382
Miami Madness,J. Wakefield Brewing,Berliner Weissbier,5.5,4.58,377
Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.3,4.5,9406
Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,13,4.5,6158
Wide Awake It's Morning,Funky Buddha Brewery,American Porter,10,4.53,873
The Broken Truck,de Garde Brewing,American Wild Ale,5,4.63,228
Abrasive Ale,Surly Brewing Company,American Double / Imperial IPA,9,4.5,4623
Pugachev Royale,Hangar 24 Brewery,Russian Imperial Stout,14.8,4.61,259
Imperial Biscotti Break - Bourbon Barrel-Aged,Evil Twin Brewing,American Double / Imperial Stout,11.5,4.51,1630
Montmorency Vs Balaton,Jester King Brewery,American Wild Ale,6.7,4.53,782
A Deal With The Devil,Anchorage Brewing Company,American Barleywine,17.3,4.52,1036
Permanent Funeral,3 Floyds Brewing Co.,American Double / Imperial IPA,10.5,4.5,2920
Everett Porter,Hill Farmstead Brewery,American Porter,7.5,4.5,2718
Scaled Way Up,Trillium Brewing Company,American Double / Imperial IPA,8,4.57,373
Life Is Like...,Cigar City Brewing,Milk / Sweet Stout,15,4.53,720
Congress Street IPA,Trillium Brewing Company,American IPA,7.2,4.5,2191
Great,Alpine Beer Company,American Barleywine,14,4.53,685
Crusher,The Alchemist Brewery and Visitors Center,American Double / Imperial IPA,9,4.5,1997
Consecration,Russian River Brewing Company,American Wild Ale,10,4.49,5381
Susan,Hill Farmstead Brewery,American IPA,6.2,4.5,1931
Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,American Double / Imperial Stout,11,4.73,124
Mosaic Dry Hopped Fort Point,Trillium Brewing Company,American Pale Ale (APA),6.6,4.51,1160
Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,American Double / Imperial Stout,12,4.5,1844
Double Dry Hopped Melcher Street,Trillium Brewing Company,American IPA,7.2,4.51,1147
Society & Solitude #6,Hill Farmstead Brewery,American Double / Imperial IPA,8.1,4.52,831
Cantillon Blåbær Lambik,Brasserie Cantillon,Lambic - Fruit,5,4.52,807
Heavy Mettle,Trillium Brewing Company,American Double / Imperial IPA,9.3,4.51,1085
Double Shot - Sumatra Mandheling,Tree House Brewing Company,American Stout,7.8,4.56,383
Sosus,Toppling Goliath Brewing Company,American Double / Imperial IPA,8,4.5,1507
Mocha Wednesday,The Bruery,American Double / Imperial Stout,19.9,4.5,1386
Drie Fonteinen Framboos,Brouwerij 3 Fonteinen,Lambic - Fruit,5,4.52,723
Drie Fonteinen Hommage,Brouwerij 3 Fonteinen,Lambic - Fruit,6,4.51,931
Saison Bernice,Sante Adairius Rustic Ales,Saison / Farmhouse Ale,6.5,4.51,929
Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,American Double / Imperial Stout,13.1,4.52,701
Upper Case,Trillium Brewing Company,American Double / Imperial IPA,9,4.51,905
Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Gueuze,5,4.5,1186
Darkness,Surly Brewing Company,Russian Imperial Stout,10.3,4.48,3935
Double Dry Hopped Mylar Bags,Other Half Brewing Co.,American Double / Imperial IPA,8.5,4.56,330
No Rules,Perrin Brewery,American Porter,15,4.49,1283
Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,8,4.48,2214
Maman,Perennial Artisan Ales,American Double / Imperial Stout,11.5,4.58,263
The Abyss,Deschutes Brewery,American Double / Imperial Stout,12.2,4.47,7272
Barrel Aged Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,11.2,4.49,1160
Ten FIDY - Bourbon Barrel Aged,Oskar Blues Grill & Brew,Russian Imperial Stout,12.9,4.48,1750
Drie Fonteinen Oude Geuze Golden Blend,Brouwerij 3 Fonteinen,Gueuze,7.5,4.49,1081
Pipeworks / 4 Hands Emerald Grouper,Pipeworks Brewing Company,American Double / Imperial IPA,9.5,4.5,771
Prairie Apple Brandy Noir,Prairie Artisan Ales,American Double / Imperial Stout,12,4.48,1572
Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,American Double / Imperial Stout,10.7,4.51,605
Double Barrel Jesus,Evil Twin Brewing,American Double / Imperial Stout,12,4.5,749
Barrel-Aged Silhouette,Lift Bridge Brewery,Russian Imperial Stout,10,4.53,424
Fuzzy Baby Ducks IPA,New England Brewing Co.,American IPA,6.2,4.49,966
Double Stack,Great Notion Brewing,American Double / Imperial Stout,10,4.54,365
3rd Anniversary Imperial IPA,Other Half Brewing Co.,American Double / Imperial IPA,10,4.58,245
Cutting Tiles Double IPA (Galaxy),Trillium Brewing Company,American Double / Imperial IPA,8.5,4.53,416
Stickee Monkee,Firestone Walker Brewing Co.,Quadrupel (Quad),12.5,4.47,2669
Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,10,4.47,2664
Hopslam Ale,"Bell's Brewery, Inc.",American Double / Imperial IPA,10,4.46,13311
Bad Boy,Alpine Beer Company,American Double / Imperial IPA,9,4.51,560
St. Bernardus Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad),10,4.46,9684
Maple Bacon Coffee Porter,Funky Buddha Brewery,American Porter,6.4,4.47,1989
Last Snow,Funky Buddha Brewery,American Porter,6.4,4.47,1986
Second Fiddle,Fiddlehead Brewing Company,American Double / Imperial IPA,8.2,4.47,1957
Ground State,Bottle Logic Brewing,American Double / Imperial Stout,13.4,4.51,520
Pirate Paradise,Prairie Artisan Ales,American Double / Imperial Stout,13,4.64,156
Temptation,Russian River Brewing Company,American Wild Ale,7.5,4.46,3732
Caffè Americano,Cigar City Brewing,American Double / Imperial Stout,11,4.48,1050
The Peach,de Garde Brewing,American Wild Ale,7.3,4.6,197
Columbus Bodhi,Columbus Brewing Company,American Double / Imperial IPA,8.5,4.47,1574
Rodenbach Caractère Rouge,Brouwerij Rodenbach N.V.,Flanders Red Ale,7,4.47,1478
Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale,29,4.46,2612
Todd The Axe Man India Pale Ale,Surly Brewing Company,American IPA,7.2,4.46,2513
Aurelian Lure,Jester King Brewery,American Wild Ale,5.4,4.49,676
Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,American Double / Imperial IPA,9,4.46,2167
Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,12.1,4.51,457
BDCS,Ozark Beer Co.,American Double / Imperial Stout,10.2,4.52,393
Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.6,4.46,2045
Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,American Double / Imperial Stout,11.9,4.46,1959
Dragon Fruit Passion Fruit Berliner,J. Wakefield Brewing,Berliner Weissbier,3.5,4.52,376
Cantillon Gueuze 100% Lambic,Brasserie Cantillon,Gueuze,5,4.45,3779
Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,American Porter,11,4.47,1039
Coolship Red,Allagash Brewing Company,Lambic - Fruit,5.7,4.49,602
Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,American Double / Imperial Stout,12,4.49,590
Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale,12,4.47,988
Art,Hill Farmstead Brewery,Saison / Farmhouse Ale,6.5,4.5,473
Ghost In The Machine,Parish Brewing Company,American Double / Imperial IPA,8,4.48,694
Tweak,Avery Brewing Company,American Double / Imperial Stout,16,4.45,2479
Double Dry Hopped All Citra Everything,Other Half Brewing Co.,American Double / Imperial IPA,8.5,4.53,313
Affogato,Trillium Brewing Company,American Double / Imperial Stout,13.3,4.53,312
Fyodor's Classic: Imperial Russian Stout - Bourbon Barrel-Aged,Stone Brewing,Russian Imperial Stout,13,4.46,1247
Birth Of Tragedy,Hill Farmstead Brewery,American Porter,9,4.46,1235
Mother Of All Storms,Pelican Pub & Brewery,English Barleywine,14,4.45,2023
Double Nelson,Hill Farmstead Brewery,American Double / Imperial IPA,8,4.56,229
Juicy,Hill Farmstead Brewery,Saison / Farmhouse Ale,7.4,4.48,635
Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.3,4.45,1761
Nelson,Alpine Beer Company,American IPA,7,4.44,4133
Vicinity,Trillium Brewing Company,American Double / Imperial IPA,8,4.45,1612
Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,American Double / Imperial Stout,10.5,4.49,491
Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Russian Imperial Stout,10.5,4.47,728
Double Dry Hopped Sleeper Street,Trillium Brewing Company,American IPA,7.2,4.46,974
Sure Bet,Pipeworks Brewing Company,American Double / Imperial IPA,9.5,4.48,555
Hold On To Sunshine,Tree House Brewing Company,Milk / Sweet Stout,7.6,4.57,194
Bourbon County Reserve Brand Stout,Goose Island Beer Co.,American Double / Imperial Stout,14.8,4.6,163
Hunahpu's Imperial Stout - Bourbon Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,14.6,4.52,292
Epiphany,Foundation Brewing Company,American Double / Imperial IPA,8,4.45,1044
Kiwi Herman,Alpine Beer Company,American Wild Ale,7,4.53,259
Flora,Hill Farmstead Brewery,Saison / Farmhouse Ale,4.8,4.46,733
Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,Sante Adairius Rustic Ales,Saison / Farmhouse Ale,6.5,4.48,468
Mastermind,Fiddlehead Brewing Company,American Double / Imperial IPA,8.1,4.44,1391
Edward,Hill Farmstead Brewery,American Pale Ale (APA),5.2,4.43,2748
Peche 'n Brett,Logsdon Farmhouse Ales,Saison / Farmhouse Ale,10,4.44,1373
Coffee Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,10,4.47,551
Clare's Thirsty Ale,Haymarket Beer Co. Pub & Brewery,American Double / Imperial Stout,12.5,4.53,251
Citraquench'l,Heist Brewery,American IPA,6.7,4.58,172
Scaled Up,Trillium Brewing Company,American Double / Imperial IPA,8,4.45,859
Double Dry Hopped Double Mosaic Daydream,Other Half Brewing Co.,American Double / Imperial IPA,8.5,4.55,211
Enjoy By IPA,Stone Brewing,American Double / Imperial IPA,9.4,4.42,10909
La Fosse,Side Project Brewing,American Wild Ale,8,4.51,299
Bourbon Barrel Aged Dark Star,Fremont Brewing Company,Oatmeal Stout,14,4.46,629
Madagascar,4 Hands Brewing Co.,Milk / Sweet Stout,9.3,4.45,791
Darkstar November,Bottle Logic Brewing,Russian Imperial Stout,13.7,4.47,482
Oude Geuze Cuvée Armand & Gaston,Brouwerij 3 Fonteinen,Gueuze,6,4.51,280
Uncle Jacob's Stout,Avery Brewing Company,American Double / Imperial Stout,14.9,4.42,2832
Matt,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Strong Ale,11.5,4.44,869
Locust Reign,New England Brewing Co.,American Double / Imperial IPA,8.2,4.49,334
Oude Tart - Cherries,Bruery Terreux,American Wild Ale,8.8,4.42,1184
Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.4,4.41,8498
Péché Mortel,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.41,5199
Framboise For A Cure,Russian River Brewing Company,American Wild Ale,6.5,4.43,1048
Citra Pale Ale,Hill Farmstead Brewery,American Pale Ale (APA),5.4,4.43,1005
Sump Coffee Stout,Perennial Artisan Ales,American Double / Imperial Stout,10.5,4.42,1592
Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Double / Imperial IPA,8.5,4.44,730
Hop Venom Double IPA,Boneyard Beer Company,American Double / Imperial IPA,8.9,4.43,971
Cantillon Vigneronne,Brasserie Cantillon,Lambic - Fruit,5,4.42,1403
Exponential Hoppiness,Alpine Beer Company,American Double / Imperial IPA,11,4.42,1316
Péché Mortel En Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.45,531
Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,10,4.43,872
B-Bomb (Bourbon Abominable Winter Ale),Fremont Brewing Company,American Strong Ale,14,4.42,1177
Coolship Resurgam,Allagash Brewing Company,American Wild Ale,6.3,4.43,799
Double Dry Hopped Scaled,Trillium Brewing Company,American IPA,7,4.43,799
Mélange No. 3,The Bruery,American Strong Ale,16.3,4.41,1955
Dreadnaught IPA,3 Floyds Brewing Co.,American Double / Imperial IPA,9.5,4.4,6061
Yellow Rose,The Lone Pint Brewery,American IPA,6.8,4.41,1797
Barrel Aged Double Shot Double Black,Bent Paddle Brewing Co.,American Black Ale,11.2,4.51,234
The Streets,Trillium Brewing Company,American Double / Imperial IPA,10,4.47,357
Fundamental Summation,Bottle Logic Brewing,American Double / Imperial Stout,13,4.58,145
Kentucky Christmas Morning,Hardywood Park Craft Brewery,Milk / Sweet Stout,10.6,4.47,351
Trickery,Hardywood Park Craft Brewery,Milk / Sweet Stout,13.5,4.45,473
M-43 NE India Pale Ale,Old Nation Brewing Co.,American IPA,6.8,4.44,573
Rue D'Floyd,The Bruery,American Porter,14.4,4.43,721
Master Of Karate,Aslin Beer Company,American Double / Imperial IPA,8.4,4.47,340
Mexican Cake,Westbrook Brewing Co.,American Double / Imperial Stout,10.5,4.4,2860
Leon,Cigar City Brewing,English Barleywine,13,4.44,542
Drie Fonteinen Oude Geuze,Brouwerij 3 Fonteinen,Gueuze,6,4.4,2837
Citra Showers,Noble Ale Works,American Double / Imperial IPA,8.8,4.44,537
Born Yesterday Pale Ale,Lagunitas Brewing Company,American Pale Ale (APA),7.2,4.4,2553
